quarter_idx,feature,entropy,weight,direction,coefficient_for_direction
18,composite_营业外收支净额_利润总额_TTM_x_bm,0.999266694019776,0.0021340963141691276,negative,-0.9380099480469064
18,composite_经营活动净收益_利润总额_TTM_x_ep,0.9973856979590747,0.00760824608025013,negative,-0.8290254550097933
18,composite_总资产周转率_TTM_x_m2gr,0.9957018734226837,0.012508579411394985,negative,-0.8243476669132563
19,composite_市净率PB_LF_x_bm,0.9969661184315363,0.005376423873940823,negative,-2.3807534601031013
19,composite_市净率PB_LF_x_svar,0.9969661184315363,0.005376423873940823,positive,2.3935462940941155
19,composite_总资产报酬率_TTM_x_infl,0.9938711261509855,0.010861143699455197,positive,1.551536497439478
19,composite_市净率PB_LF_x_de,0.9332888409347257,0.11822065567260172,positive,1.7823245372727996
19,composite_净资产收益率_1年_增长率_x_bm,0.9958000499688908,0.0074428454463527595,negative,-1.4835470720969477
19,composite_市净率PB_LF_x_itgr,0.9332888409347257,0.11822065567260172,negative,-1.3229137171298466
19,composite_销售毛利率_TTM_x_m2gr,0.9906846219972955,0.016508034199200657,negative,-1.2703371069057396
19,composite_经营活动净收益_利润总额_TTM_x_ep,0.9330462666898434,0.11865052807597613,negative,-1.0091717123740032
19,composite_市净率PB_LF_x_infl,0.9332888409347257,0.11822065567260172,positive,3.063809966144831
19,composite_总市值_证监会算法_x_mtr,0.8753395058978268,0.22091424516862912,positive,1.037281836911298
19,composite_总资产周转率_TTM_x_m2gr,0.9957478857930496,0.007535286998215665,negative,-1.0254423733235578
19,composite_净资产收益率_TTM_x_itgr,0.9958678888576148,0.0073226263103428274,negative,-0.948599686471446
19,composite_销售毛利率_TTM_x_dp,0.9906846219972955,0.016508034199200657,negative,-1.0089754150553556
19,composite_总市值_证监会算法_x_de,0.8753395058978268,0.22091424516862912,positive,0.9066583612406468
19,composite_总市值_证监会算法_x_bm,0.995526169776901,0.007928195968311062,negative,-0.8690274182976416
20,composite_市净率PB_LF_x_bm,0.9300435098704983,0.11843857409302905,negative,-2.4812973287908844
20,composite_总资产报酬率_TTM_x_infl,0.9895604657740361,0.01767446516584328,positive,1.8472446841014227
20,composite_总市值_证监会算法_x_ntis,0.871723096318465,0.21717689856916866,negative,-1.7632169808128293
20,composite_市净率PB_LF_x_svar,0.9966952991937441,0.005594964106582159,positive,1.7836475778290963
20,composite_市净率PB_LF_x_de,0.9966952991937442,0.0055949641065819716,positive,1.7622595888779005
20,composite_净资产收益率_1年_增长率_x_bm,0.9936813293161834,0.010697711457068475,negative,-1.4075887054448333
