quarter_idx,window_start,window_end,step,selected_feature,coefficient,train_r2,train_rankic,selection_abs_corr,sse_improvement,valid_rankic_if_available
19,7,18,2,composite_市净率PB_LF_x_svar,2.3935462940941155,0.02051650485986789,0.2510873629103609,0.08844435772848293,0.009451104189285749,
19,7,18,3,composite_总资产报酬率_TTM_x_infl,1.5515364974394779,0.025194999582266564,0.2609983581746744,0.06863006305336454,0.004776491636267317,
19,7,18,4,composite_市净率PB_LF_x_de,1.7823245372727996,0.030889192098462637,0.2406088672340606,0.07288787641364994,0.005841365723150669,
19,7,18,5,composite_净资产收益率_1年_增长率_x_bm,-1.4835470720969475,0.035218504272872875,0.2360447055253069,0.06677281178641546,0.004467303572627262,
19,7,18,6,composite_市净率PB_LF_x_itgr,-1.3229137171298466,0.038322973251470716,0.20868804237151006,0.053815841248030634,0.003217794902106905,
19,7,18,7,composite_销售毛利率_TTM_x_m2gr,-1.2703371069057396,0.04142537937881352,0.22229443878150876,0.05609625335646826,0.003226037475213714,
19,7,18,8,composite_经营活动净收益_利润总额_TTM_x_ep,-1.0091717123740032,0.04342992322741612,0.22205642264179704,0.04569896248503075,0.0020911714179367687,
19,7,18,9,composite_市净率PB_LF_x_infl,3.063809966144831,0.04949647321478434,0.24656189214325538,0.045602680560109604,0.0063419817686921325,
19,7,18,10,composite_总市值_证监会算法_x_mtr,1.037281836911298,0.05152301296449979,0.24624186860339292,0.04513883003157022,0.0021320696794989076,
19,7,18,11,composite_总资产周转率_TTM_x_m2gr,-1.0254423733235578,0.05336455946284979,0.25299464695993285,0.04153620765170117,0.0019415826883747598,
19,7,18,12,composite_净资产收益率_TTM_x_itgr,-0.9485996864714461,0.055033660150422214,0.262904358242082,0.04073586949785069,0.0017631926886503338,
19,7,18,13,composite_销售毛利率_TTM_x_dp,-1.0089754150553556,0.05683950015683503,0.2675370921349248,0.04147241518355725,0.0019110098743837828,
19,7,18,14,composite_总市值_证监会算法_x_de,0.9066583612406469,0.058293067197006,0.26804563954313165,0.03718496739585282,0.0015411661540243508,
19,7,18,15,composite_总市值_证监会算法_x_bm,-0.8690274182976416,0.0596987581016285,0.2712675421682352,0.03754631187913709,0.0014927052734319312,
20,8,19,1,composite_市净率PB_LF_x_bm,-2.4812973287908844,0.011271448151021435,0.22174527135471958,0.10616707658695947,0.011271448151021381,
20,8,19,2,composite_总资产报酬率_TTM_x_infl,1.8472446841014227,0.017512991300698832,0.23162859850509174,0.07941782029553296,0.00631269637961335,
20,8,19,3,composite_总市值_证监会算法_x_ntis,-1.7632169808128293,0.02310593751756662,0.21841502638090915,0.0747929088814486,0.005692641396116043,
20,8,19,4,composite_市净率PB_LF_x_svar,1.7836475778290963,0.028233105189292895,0.24106553126035202,0.06797256928177524,0.00524843774635847,
20,8,19,5,composite_市净率PB_LF_x_de,1.7622595888779005,0.033404706994951905,0.2293966107564934,0.06957658287135574,0.005321854277271312,
20,8,19,6,composite_净资产收益率_1年_增长率_x_bm,-1.4075887054448333,0.037022270744769936,0.22743596616317355,0.061095191580012836,0.003742583660397663,
20,8,19,7,composite_营业外收支净额_利润总额_TTM_x_tms,-1.3646503961636614,0.040424432564082236,0.2624080067510554,0.05937647186184937,0.0035329600217686636,
20,8,19,8,composite_销售毛利率_TTM_x_dp,-1.3319905876933793,0.04343302063463772,0.26937155520287237,0.0538903409941535,0.003135332091244005,
20,8,19,9,composite_市净率PB_LF_x_infl,3.158637830704861,0.05009057306620146,0.2732317339518318,0.0503669925465176,0.006959839274381702,
20,8,19,10,composite_销售毛利率_TTM_x_ntis,-1.0862675696738027,0.052152769291890166,0.27372373243599984,0.04552406388192899,0.002170939846702342,
20,8,19,11,composite_总市值_证监会算法_x_bm,-1.4983591445027564,0.05486041323638968,0.27185713163750436,0.04338058534123029,0.002856624840773766,
20,8,19,12,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ep,-0.8656991365013129,0.05621295366651202,0.27183991748503605,0.037559884135466105,0.0014310483330338328,
20,8,19,13,composite_销售毛利率_TTM_x_mtr,-1.5167592465927298,0.058638635482401225,0.28024952343221843,0.03847415802174982,0.0025701579877714623,
20,8,19,14,composite_市销率PS_TTM_x_bm,-1.2480032312576301,0.06071906547867223,0.284904556989411,0.040155788797994724,0.002210022712518162,
20,8,19,15,composite_经营活动净收益_利润总额_TTM_x_ep,-0.8228981553803202,0.061924631156652254,0.2855065502509795,0.035329377242207714,0.0012834985079244752,
21,9,20,1,composite_市净率PB_LF_x_bm,-2.3612072765291483,0.009949011186839662,0.19732582037066018,0.09974473012064122,0.009949011186839617,
21,9,20,2,composite_销售毛利率_TTM_x_infl,1.8482332718159158,0.01603691184253353,0.1985400347245125,0.07836572306988573,0.006149077900514844,
21,9,20,3,composite_总资产报酬率_TTM_x_ntis,-1.6430780066654276,0.020826705526550415,0.22363049987589856,0.06956861773521233,0.004867859111449126,
21,9,20,4,composite_营业外收支净额_利润总额_TTM_x_tms,-1.4776170294401028,0.024719479821829538,0.24661200850135903,0.06302483384534976,0.003975572370335554,
21,9,20,5,composite_市净率PB_LF_x_ep,-1.4856206515801016,0.028605867392676232,0.2630544203803224,0.06270722164529444,0.003984892028948443,
21,9,20,6,composite_净资产收益率_1年_增长率_x_bm,-1.4013189923025953,0.03210235047040555,0.2595249793100601,0.05992952533466658,0.003599448421975203,
21,9,20,7,composite_市净率PB_LF_x_de,1.341108289743739,0.03522593820846476,0.2673353154542767,0.05604273195637051,0.003227188060201688,
21,9,20,8,composite_市净率PB_LF_x_infl,3.2983980639017916,0.04412527901681784,0.2897121766953795,0.06502586167003296,0.009224274533072964,
