experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,rank_smoothing,buffer_rule,train_rankic,valid_rankic,test_rankic,valid_icir,test_icir,valid_annualized_return,valid_sharpe,valid_alpha,valid_information_ratio,valid_max_drawdown,valid_turnover,valid_excess_win_rate,test_annualized_return,test_sharpe,test_alpha,test_information_ratio,test_max_drawdown,test_turnover,test_excess_win_rate,selected_as_final,reason,robust_valid_score
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,prev_70_30,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.2711635835021106,2.5903494602778934,0.1763283947419873,0.2152127334506286,-0.0118378989114275,0.7916666666666674,0.75,0.0241461660644499,0.1296491869570551,0.0108512713291176,0.1032936943649393,0.0,0.5733333333333335,0.6,False,,0.35323572979548107
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,prev_70_30,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.2783202021292537,2.7997872890288127,0.1866244529942944,0.2290558920783791,-0.0062745714285838,0.7833333333333341,0.75,0.0314413047963602,0.1716744656926421,0.0182864802777799,0.1447573471487812,0.0,0.5466666666666669,0.6,False,,0.37547581306622574
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,prev_70_30,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3806062457448276,3.855022914290807,0.2523501650809558,0.6435225336653584,0.0,0.7750000000000006,0.75,0.0218321796544502,0.1189793654966177,0.0080673543376353,0.0978461732063477,0.0,0.5200000000000002,0.8,False,,0.539393061839667
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,trailing2_60_40,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3127142875911972,2.949823075322798,0.1962542757627126,0.4047324733513354,-0.0052382820625115,0.8500000000000004,0.5,0.1603494972599117,0.8877871883934156,0.1372713317283679,1.010315363709984,0.0,0.6700000000000003,0.8,False,,0.37931929056930763
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,trailing2_60_40,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3117836244007477,2.7051744418814354,0.1871446887007455,0.4375929848695893,-0.0115604757356593,0.8375000000000004,0.5,0.1192031068582988,0.7161017490722216,0.0996743564656577,0.9648360420357038,0.0,0.5800000000000003,0.8,False,,0.3821786335389074
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,trailing2_60_40,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.278037312262172,2.831056471768844,0.1880378026820877,0.2245173938290682,0.0,0.8333333333333343,0.5,0.0770948355892251,0.4332060752880423,0.0608660100466772,0.4938440578813775,0.0,0.5866666666666669,0.8,False,,0.3463599056353506
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,trailing2_60_40,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.278160772168144,2.5495078285706847,0.1756537888933779,0.2498015762229738,0.0,0.8000000000000008,0.5,0.1122057370235354,0.6722335383949969,0.0934198733713989,0.8673845751425723,0.0,0.5000000000000001,0.8,False,,0.36300777293218556
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,trailing2_60_40,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3255183147276395,2.4448133551319007,0.1873505814418357,0.5192449838145488,0.0,0.8000000000000005,0.5,0.0723184705434709,0.4703748361678772,0.0564745387249705,0.5962825496315467,0.0,0.4600000000000002,0.8,False,,0.4340967109326802
rb_003,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,3.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,none,-0.0594523945895588,0.1794658721814976,0.0917103264447994,0.9286079493911812,0.8153131452084733,1.0152375367945838,5.419568271156504,0.6398403670946543,2.292278705381624,0.0,0.9375000000000004,1.0,-0.0080874368852401,-0.0413081039144903,-0.0206223771919473,-0.0703924061527925,0.0,0.6100000000000001,0.6,False,,1.1591256255335665
rb_003,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,3.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,buffer,-0.0594523945895588,0.1794658721814976,0.0917103264447994,0.9286079493911812,0.8153131452084733,0.9739611476614378,4.814677213868772,0.6054344297355162,2.1665663142327825,0.0,0.8625000000000004,1.0,-0.0005851064104576,-0.0029515816338796,-0.0130803605615651,-0.0263081866697867,0.0,0.5600000000000003,0.8,False,,1.149698166786693
rb_003,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,3.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,none,none,-0.0594523945895588,0.1794658721814976,0.0917103264447994,0.9286079493911812,0.8153131452084733,0.8066342734427605,5.209270932311029,0.5386665048606785,1.6562465263266932,0.0,0.8833333333333344,1.0,0.0122811362830059,0.0635313221935132,-0.0012674415965176,0.0395434692936003,0.0,0.6066666666666669,0.6,False,,0.9593502569438417
