quarter_idx,feature,weight,direction,coefficient_for_direction,selected_count,sign_stability,entropy_weight_method,preference_function
27,composite_流通市值_x_itgr,0.01842043477822055,negative,-0.38837900914978163,3,0.6666666666666667,smooth_80_20,linear
27,composite_净资产收益率_TTM_x_itgr,0.015043885695555731,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
27,composite_净资产收益率_TTM_x_bm,0.03926196924982937,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
27,composite_净资产收益率_TTM_x_svar,0.015043885695555731,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
27,composite_流通市值_x_infl,0.21076928174216178,positive,2.438700098948302,2,1.0,smooth_80_20,linear
27,composite_市净率PB_LF_x_itgr,0.015224966806092453,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
27,composite_市净率PB_LF_x_m2gr,0.015224966806092453,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
27,composite_销售毛利率_TTM_x_m2gr,0.025564532838551094,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
27,composite_经营活动净收益_利润总额_TTM_x_ep,0.11762589598517774,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
27,composite_总资产报酬率_TTM_x_infl,0.016874064779274188,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
28,composite_净资产收益率_TTM_x_ntis,0.013903335911056271,negative,-2.594695530476483,9,1.0,smooth_80_20,linear
28,composite_市净率PB_LF_x_svar,0.013787406059483085,positive,2.8370904011611224,7,1.0,smooth_80_20,linear
28,composite_总市值_证监会算法_x_bm,0.14735593197271185,positive,0.9019712555057537,5,0.6,smooth_80_20,linear
28,composite_市净率PB_LF_x_ntis,0.09454521093433112,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
28,composite_流通市值_x_itgr,0.14741438476940122,negative,-0.9942931040567276,4,0.75,smooth_80_20,linear
28,composite_净资产收益率_TTM_x_m2gr,0.03021423013417073,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
28,composite_流通市值_x_bm,0.01606907083027436,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
28,composite_流通市值_x_mtr,0.14741438476940122,positive,2.023333030618362,3,1.0,smooth_80_20,linear
28,composite_销售毛利率_TTM_x_dp,0.02108571996615007,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
28,composite_销售净利率_TTM_x_m2gr,0.026900514291884926,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
28,composite_净资产收益率_TTM_x_itgr,0.030214230134170607,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
28,composite_净资产收益率_TTM_x_bm,0.030214230134170607,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
28,composite_净资产收益率_TTM_x_svar,0.013903335911056141,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
28,composite_流通市值_x_infl,0.016069070830274233,positive,2.438700098948302,2,1.0,smooth_80_20,linear
28,composite_市净率PB_LF_x_itgr,0.09454521093433098,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
28,composite_市净率PB_LF_x_m2gr,0.013787406059483085,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
28,composite_销售毛利率_TTM_x_m2gr,0.02108571996615007,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
28,composite_经营活动净收益_利润总额_TTM_x_ep,0.09907396766555007,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
28,composite_总资产报酬率_TTM_x_infl,0.022416638725949446,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
29,composite_净资产收益率_TTM_x_ntis,0.01386629821889094,negative,-2.5317956848445884,10,1.0,smooth_80_20,linear
29,composite_市净率PB_LF_x_svar,0.013875987720484633,positive,2.996281797411001,8,1.0,smooth_80_20,linear
29,composite_流通市值_x_itgr,0.13828511685134212,negative,-1.3421598031609174,5,0.8,smooth_80_20,linear
29,composite_总市值_证监会算法_x_bm,0.13824327556086063,positive,0.9019712555057537,5,0.6,smooth_80_20,linear
29,composite_市净率PB_LF_x_ntis,0.08563944111357522,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
29,composite_净资产收益率_TTM_x_m2gr,0.02894310007649919,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
29,composite_流通市值_x_bm,0.0163975158500387,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
29,composite_流通市值_x_mtr,0.13828511685134212,positive,2.023333030618362,3,1.0,smooth_80_20,linear
29,composite_销售毛利率_TTM_x_dp,0.042645758316765266,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
29,composite_销售净利率_TTM_x_m2gr,0.026895751145277078,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
29,composite_净资产收益率_TTM_x_itgr,0.02894310007649919,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
29,composite_净资产收益率_TTM_x_bm,0.02894310007649919,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
29,composite_净资产收益率_TTM_x_svar,0.01386629821889056,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
29,composite_流通市值_x_infl,0.13828511685134212,positive,2.438700098948302,2,1.0,smooth_80_20,linear
29,composite_市净率PB_LF_x_itgr,0.08563944111357509,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
29,composite_市净率PB_LF_x_m2gr,0.013875987720484761,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
29,composite_销售毛利率_TTM_x_m2gr,0.020872582617133636,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
29,composite_经营活动净收益_利润总额_TTM_x_ep,0.011846359456163707,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
29,composite_总资产报酬率_TTM_x_infl,0.014650652164335864,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
30,composite_净资产收益率_TTM_x_ntis,0.014088773341139185,negative,-2.5317956848445884,10,1.0,smooth_80_20,linear
30,composite_市净率PB_LF_x_svar,0.014176774338488405,positive,3.0412295807401595,9,1.0,smooth_80_20,linear
