experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement,stable_core_restricted
rb_003,26,14,25,1,composite_总市值_证监会算法_x_bm,3.976733419392732,0.09157965955660315,0.008386831714699228,0.1104073201289831,0.008386831714699228,True
rb_003,26,14,25,2,composite_市净率PB_LF_x_svar,3.0130486425502414,0.06955516070539987,0.01318616700380082,0.13851320478777127,0.004839926941874544,True
rb_003,26,14,25,3,composite_净资产收益率_TTM_x_ntis,-2.6329174181654564,0.059791711143342245,0.016789426891219317,0.16499993948786867,0.003651407962612518,True
rb_003,27,15,26,1,composite_市净率PB_LF_x_svar,3.564749363075399,0.08126053221006088,0.006603272250795933,0.10502932955217162,0.006603272250795921,True
rb_003,27,15,26,2,composite_总市值_证监会算法_x_bm,3.2032119883848638,0.07335008833130202,0.011948545642586739,0.12955250335826007,0.005380804307561878,True
rb_003,27,15,26,3,composite_净资产收益率_TTM_x_ntis,-2.2098021602619213,0.04970853385714326,0.014442293496938152,0.1475488775623897,0.0025239048466087414,True
rb_003,28,16,27,1,composite_市净率PB_LF_x_svar,3.736918676798818,0.08536137107043229,0.007286561635303168,0.11033957179152792,0.007286561635303162,True
rb_003,28,16,27,2,composite_流通市值_x_itgr,-2.8120353887775655,0.0645595516644801,0.011424411987712602,0.1244471521033924,0.004168222361556603,True
rb_003,28,16,27,3,composite_净资产收益率_TTM_x_ntis,-2.1293964390284157,0.04791400207096156,0.013746746239444607,0.13951074733460686,0.0023491721623447085,True
rb_003,29,17,28,1,composite_市净率PB_LF_x_svar,4.110621571160153,0.0944565106046304,0.008922029903690731,0.12423040647257143,0.00892202990369072,True
rb_003,29,17,28,2,composite_流通市值_x_itgr,-2.733626599577677,0.0631750813916543,0.012878074846312537,0.13538549815044595,0.003991658640376533,True
rb_003,29,17,28,3,composite_净资产收益率_TTM_x_ntis,-1.9656970741575412,0.04469101494647917,0.014887882166864763,0.14784306339396544,0.002036027434239507,True
rb_003,30,18,29,1,composite_市净率PB_LF_x_svar,3.400811847373427,0.0796613874698316,0.006345934880385262,0.1122288441159077,0.0063459348803852865,True
rb_003,30,18,29,2,composite_净资产收益率_TTM_x_m2gr,2.3396110428145507,0.054524234627616935,0.009329826223757887,0.13608654368124548,0.003002947854909039,True
rb_003,30,18,29,3,composite_流通市值_x_mtr,-1.7888605271156557,0.04130683869217479,0.01104903565340487,0.1443545282165206,0.0017354004139376747,True
