experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement
sw_009,20,8,19,1,composite_净资产收益率_TTM_x_m2gr,-2.5419755184157604,0.06278164917523409,0.003941535473162228,0.0800749652665666,0.003941535473162277
sw_009,20,8,19,2,composite_流通市值_x_infl,2.528032546055206,0.0624074054667429,0.007822045062333416,0.10487053493877659,0.0038958652803724233
sw_009,20,8,19,3,composite_净资产收益率_TTM_x_ntis,-2.122376244036778,0.048534004196109135,0.01035589717414609,0.12423447664677877,0.002553828271634878
sw_009,20,8,19,4,composite_销售毛利率_TTM_x_dp,-1.9248858257371144,0.04693618587145878,0.01257476600400742,0.138186393231936,0.00224208765911452
sw_009,20,8,19,5,composite_经营活动净收益_利润总额_TTM_x_ep,-1.5794050661235164,0.038059396442715186,0.014045990050003732,0.13619707029135925,0.0014899599436429443
sw_009,20,8,19,6,composite_市盈率PE_TTM_x_infl,1.101315474238501,0.02695477523530154,0.014773469565570574,0.1366744592209657,0.0007378432545791196
sw_009,20,8,19,7,composite_市净率PB_LF_x_ep,-1.0314826597096625,0.024663243131977812,0.015396253231738766,0.13915043854966513,0.0006321223058148288
sw_009,20,8,19,8,composite_销售毛利率_TTM_x_svar,-1.0509253243812016,0.0248317687668773,0.016034096788866692,0.14487180190043114,0.000647817519709388
sw_009,20,8,19,9,composite_流通市值_x_mtr,1.2701112551484612,0.02464422982891979,0.0168004546696634,0.143891631487277,0.0007788459725033706
sw_009,20,8,19,10,composite_市现率PCF_经营性现金流TTM_x_m2gr,-0.8905299763346268,0.021714430045819934,0.01727404722922954,0.14423795399663766,0.0004816850880531323
sw_009,20,8,19,11,composite_总市值_证监会算法_x_bm,-0.9579144017812841,0.021588400658142323,0.01777870422768346,0.14904950738752357,0.0005135277002006188
sw_009,20,8,19,12,composite_净资产收益率_TTM_x_svar,-0.9838081010683083,0.020245211945579305,0.01826572439380858,0.15583629134059887,0.0004958354784420063
sw_009,21,9,20,1,composite_净资产收益率_TTM_x_ntis,-2.9363621660867243,0.07159663194240858,0.005126077705496779,0.08858468930795485,0.005126077705496783
sw_009,21,9,20,2,composite_流通市值_x_infl,2.3517852489789735,0.05601815370075228,0.00832580723881915,0.10663261696964421,0.003216216107004591
sw_009,21,9,20,3,composite_销售毛利率_TTM_x_m2gr,-2.0691688673876625,0.050472176737541334,0.010861564504385135,0.12364216138035435,0.002557046743855917
sw_009,21,9,20,4,composite_市净率PB_LF_x_ep,-1.8533390505539433,0.045251699770551455,0.012892747720561037,0.1354217784015016,0.0020534873009541306
sw_009,21,9,20,5,composite_总资产周转率_TTM_x_m2gr,-1.8628161384253326,0.04158850201215782,0.014769487495812417,0.1432992223325069,0.001901252139438371
sw_009,21,9,20,6,composite_经营活动净收益_利润总额_TTM_x_ep,-1.3646413053586512,0.03266886519770734,0.01584542265030997,0.14367436745010487,0.001092064385788096
sw_009,21,9,20,7,composite_市净率PB_LF_x_m2gr,-1.4384544185284092,0.030919060960569233,0.016920510364426322,0.14797550919198718,0.0010923972096045604
sw_009,21,9,20,8,composite_市销率PS_TTM_x_itgr,-1.2128084066470293,0.02949793816696479,0.01778466742544016,0.14883750591080852,0.0008790307092401643
sw_009,21,9,20,9,composite_净资产收益率_TTM_x_itgr,3.8032254274313373,0.026675538908508434,0.020236157069701832,0.1568899197916903,0.002495878004506272
sw_009,21,9,20,10,composite_市盈率PE_TTM_x_svar,0.9718794644530024,0.023068498734806132,0.0207764722811975,0.15796754889739092,0.0005514749451048528
sw_009,21,9,20,11,composite_经营活动产生的现金流量净额_营业利润_TTM_x_m2gr,-0.8617801342327106,0.020411700196382568,0.021200937007606835,0.1587221297938769,0.0004334707187827668
sw_009,21,9,20,12,composite_流通市值_x_tms,0.8869101322607523,0.019577282379739953,0.02161755211112326,0.1593288736918054,0.00042563905020794203
sw_009,22,10,21,1,composite_净资产收益率_TTM_x_ntis,-3.3479239902383418,0.07980988192933951,0.006369617253574877,0.10006001543119507,0.006369617253574917
sw_009,22,10,21,2,composite_市销率PS_TTM_x_infl,1.9509718965481426,0.046489665577818855,0.00851716223933674,0.10884000835405426,0.0021613117141466467
sw_009,22,10,21,3,composite_销售毛利率_TTM_x_m2gr,-1.6988333251445324,0.04046055941068317,0.010148597790716307,0.1174682474556996,0.0016454501169826314
